Pessoa;P1;P2;P3;P4;P5;P6;P7;P8;P9;Sexo;Idade;Região;Classe Social
149;Baixo;Justo;Vender presencialmente;7;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 41 a 50;Até R$ 2.172;Me sinto um pouco desconfortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais ; Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;26;Centro-Oeste;C
150;Baixo;Baixo;Compartilhar link de oferta;1;"Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui animais de estimação ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Se gosta de ir em shows ; Se tem plano de saúde ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";Mais de 50;Até R$ 7.240;Me sinto extremamente desconfortável;"Fazer entregas com o seu veículo ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;36;Sudeste;B
151;Justo;Justo;Responder perguntas sobre os meus contatos;5;"Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago";De 5 a 11;Até R$ 2.172;Me sinto um pouco confortável;"Fazer entregas com o seu veículo ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;49;Sudeste;D
152;Baixo;Justo;Responder perguntas sobre os meus contatos;8;"Se possui animais de estimação ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista?";De 5 a 11;Até R$ 724;Me sinto um pouco desconfortável;"Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;31;Sudeste;E
153;Justo;Justo;Ter parte do meu dinheiro de volta (caso eu mesmo compre);8;"Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se possui smartphone? ";De 5 a 11;Até R$ 724;Me sinto extremamente desconfortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Masculino;30;Nordeste;D
154;Baixo;Baixo;Adicionar contatos;5;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 11 a 20;Acima de R$ 7.240;Me sinto um pouco desconfortável;"Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;47;Sul;B
155;Alto;Baixo;O aplicativo enviar ofertas aos meus contatos;6;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar";Menos de 5;Não possuo;Me sinto extremamente desconfortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Masculino;40;Sudeste;D
156;Baixo;Baixo;Adicionar contatos;4;Eu não responderia à nenhuma destas questões;Menos de 5;Até R$ 2.172;Me sinto um pouco desconfortável;"Fazer entregas com o seu veículo ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;35;Sudeste;D
157;Baixo;Baixo;Responder perguntas sobre os meus contatos;6;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo) ; Eu não responderia à nenhuma destas questões";Mais de 50;Até R$ 1.448;Não sei se sinto confortável ou desconfortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais ; Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;44;Sudeste;D
158;Justo;Baixo;Ter parte do meu dinheiro de volta (caso eu mesmo compre);10 (Instalaria com certeza);"Características do veículo (marca, ano e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se possui smartphone?  ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc)";De 5 a 11;Até R$ 2.172;Me sinto um pouco confortável;"Vendas via rede social (compartilhando links de ofertas) ; Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;38;Sul;B
159;Baixo;Justo;Adicionar contatos;9;"Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Sobre a profissão que exerce ; Se gosta de ir em shows ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 5 a 11;Até R$ 1.448;Me sinto um pouco confortável;"Vendas via rede social (compartilhando links de ofertas) ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;43;Centro-Oeste;C
160;Justo;Justo;Responder perguntas sobre os meus contatos;10 (Instalaria com certeza);"Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se gosta de ir em shows ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago";De 5 a 11;Até R$ 3.620;Me sinto extremamente confortável;"Vendas via rede social (compartilhando links de ofertas) ; Fazer entregas com o seu veículo";Masculino;71;Sudeste;C
161;Justo;Justo;Vender presencialmente;10 (Instalaria com certeza);"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";Mais de 50;Até R$ 1.448;Me sinto um pouco confortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Masculino;28;Nordeste;C
162;Alto;Baixo;Compartilhar link de oferta;4;"Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se gosta de viajar e com que frequência ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 5 a 11;Não possuo;Não sei se sinto confortável ou desconfortável;"Vendas via rede social (compartilhando links de ofertas) ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;27;Nordeste;E
163;Justo;Baixo;Vender presencialmente;7;"Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se possui smartphone?  ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 5 a 11;Até R$ 2.172;Me sinto um pouco desconfortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Masculino;34;Sudeste;C
164;Baixo;Justo;Ter parte do meu dinheiro de volta (caso eu mesmo compre);7;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";Mais de 50;Não possuo;Me sinto extremamente desconfortável;"Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;18;Sudeste;B
165;Justo;Justo;Compartilhar link de oferta;10 (Instalaria com certeza);"Aniversário e outras datas festivas (Casamento por exemplo) ; Informações sociais como sexo, idade, estado civil por exemplo ; Se possui smartphone?  ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Se possui casa própria ou se é alugada ; Sobre a profissão que exerce ; Se gosta de viajar e com que frequência";Mais de 50;Até R$ 7.240;Me sinto um pouco desconfortável;Pesquisas de mercado em campo para nossas empresas parceiras;Masculino;41;Sudeste;B
166;Baixo;Justo;O aplicativo enviar ofertas aos meus contatos;10 (Instalaria com certeza);"Características do veículo (marca, ano e etc) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se possui smartphone?  ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Sobre a profissão que exerce ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 11 a 20;Até R$ 7.240;Me sinto extremamente confortável;"Vendas via rede social (compartilhando links de ofertas) ; Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;29;Sul;B
167;Justo;Justo;Vender presencialmente;9;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 31 a 40;Até R$ 2.172;Não sei se sinto confortável ou desconfortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais ; Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;28;Sudeste;C
168;Justo;Justo;Adicionar contatos;10 (Instalaria com certeza);"Características do veículo (marca, ano e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; Se possui smartphone?  ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a sua operadora de telefonia (Claro, Vivo e etc)";De 5 a 11;Não possuo;Me sinto um pouco confortável;Vendas via rede social (compartilhando links de ofertas);Masculino;17;Sudeste;E
169;Baixo;Baixo;Outros: começar do zero;2;Eu não responderia à nenhuma destas questões;De 31 a 40;Não possuo;Me sinto extremamente confortável;Vendas via rede social (compartilhando links de ofertas);Masculino;41;Sudeste;D
170;Justo;Justo;Compartilhar link de oferta;4;Características do veículo (marca, ano e etc);De 11 a 20;Não possuo;Me sinto um pouco confortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Masculino;22;Nordeste;E
171;Justo;Baixo;O aplicativo enviar ofertas aos meus contatos;10 (Instalaria com certeza);"Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Sobre a profissão que exerce ; Se gosta de ir em shows ; Se possui seguro de vida, de imóvel ou de carro ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 41 a 50;Até R$ 1.448;Me sinto um pouco confortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais ; Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;44;Norte;D
172;Justo;Baixo;O aplicativo enviar ofertas aos meus contatos;10 (Instalaria com certeza);"Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Se os filhos estudam em colégio particular";Mais de 50;Até R$ 3.620;Me sinto extremamente confortável;"Vendas via rede social (compartilhando links de ofertas) ; Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras";Masculino;30;Sudeste;C
173;Justo;Justo;Responder perguntas sobre os meus contatos;10 (Instalaria com certeza);Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc);Menos de 5;Não possuo;Me sinto um pouco confortável;"Vendas via rede social (compartilhando links de ofertas) ; Fazer entregas com o seu veículo";Masculino;19;Norte;E
174;Baixo;Baixo;Compartilhar link de oferta;9;"Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo) ; Eu não responderia à nenhuma destas questões";Mais de 50;Não possuo;Me sinto extremamente confortável;"Vendas via rede social (compartilhando links de ofertas) ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;44;Nordeste;D
175;Justo;Baixo;Compartilhar link de oferta;5;Se possui smartphone? ;Mais de 50;Acima de R$ 7.240;Me sinto extremamente desconfortável;"Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;38;Sudeste;B
176;Baixo;Baixo;Vender presencialmente;6;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";Mais de 50;Até R$ 7.240;Me sinto extremamente confortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais ; Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;25;Sul;B
177;Baixo;Justo;Vender presencialmente;10 (Instalaria com certeza);"Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Se possui casa própria ou se é alugada ; Se faz academia ou pratica esportes de modo geral ; Se possui seguro de vida, de imóvel ou de carro ; Se o celular é pós pago ou pré pago";Mais de 50;Até R$ 2.172;Me sinto extremamente confortável;"Vendas via rede social (compartilhando links de ofertas) ; Pesquisas de mercado em campo para nossas empresas parceiras";Masculino;68;Sudeste;D
178;Justo;Justo;Vender presencialmente;7;"Se possui smartphone?  ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Sobre a sua operadora de telefonia (Claro, Vivo e etc)";Mais de 50;Até R$ 1.448;Me sinto um pouco confortável;"Vendas via rede social (compartilhando links de ofertas) ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;28;Centro-Oeste;D
179;Justo;Baixo;O aplicativo enviar ofertas aos meus contatos;8;"Características do veículo (marca, ano e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Se os filhos estudam em colégio particular ; Sobre a sua operadora de telefonia (Claro, Vivo e etc)";De 31 a 40;Até R$ 3.620;Não sei se sinto confortável ou desconfortável;"Vendas via rede social (compartilhando links de ofertas) ; Pesquisas de mercado em campo para nossas empresas parceiras";Masculino;33;Nordeste;B
180;Justo;Baixo;Compartilhar link de oferta;10 (Instalaria com certeza);Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc);De 21 a 30;Não possuo;Me sinto um pouco confortável;"Vendas via rede social (compartilhando links de ofertas) ; Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;21;Centro-Oeste;E
181;Justo;Justo;O aplicativo enviar ofertas aos meus contatos;6;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Aniversário e outras datas festivas (Casamento por exemplo)";De 11 a 20;Acima de R$ 7.240;Me sinto extremamente confortável;Fazer entregas com o seu veículo;Masculino;35;Norte;E
182;Baixo;Baixo;Adicionar contatos;5;"Aniversário e outras datas festivas (Casamento por exemplo) ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc)";De 5 a 11;Não possuo;Me sinto um pouco desconfortável;"Vendas via rede social (compartilhando links de ofertas) ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Masculino;22;Sudeste;D
